,Sector,Industry,Count
7,Business Services,Advertising & Marketing,50
8,Business Services,Architectural & Engineering Services,13
9,Business Services,Building & Personnel Services,2
10,Business Services,Consulting,111
11,Business Services,Membership Organizations,4
12,Business Services,Research & Development,12
13,Business Services,Security Services,2
14,Business Services,Staffing & Outsourcing,321
15,Business Services,Wholesale,6
25,Finance,Banks & Credit Unions,51
26,Finance,Brokerage Services,6
27,Finance,Financial Analytics & Research,2
28,Finance,Financial Transaction Processing,10
29,Finance,Investment Banking & Asset Management,78
30,Finance,Lending,15
31,Finance,Stock Exchanges,1
32,Finance,Venture Capital & Private Equity,6
36,Health Care,Health Care Services & Hospitals,151
37,Information Technology,Computer Hardware & Software,111
38,Information Technology,Enterprise Software & Network Solutions,69
39,Information Technology,IT Services,324
40,Information Technology,Internet,65
41,Insurance,Insurance Agencies & Brokerages,4
42,Insurance,Insurance Carriers,47
