Country Name,Country Code,Year,Value
Arab World,ARB,2016,2504702625568.63
Caribbean small states,CSS,2016,66707362091.378
Central Europe and the Baltics,CEB,2016,1312157690492.89
Early-demographic dividend,EAR,2016,10401989026722.8
East Asia & Pacific,EAS,2016,22480427869996.2
East Asia & Pacific (excluding high income),EAP,2016,13512435638588.8
East Asia & Pacific (IDA & IBRD countries),TEA,2016,13486492444155.4
Euro area,EMU,2016,11934055071906.0
Europe & Central Asia,ECS,2016,20273841359271.0
Europe & Central Asia (excluding high income),ECA,2016,2991823901020.52
Europe & Central Asia (IDA & IBRD countries),TEC,2016,3463188309734.48
European Union,EUU,2016,16487344364513.9
Fragile and conflict affected situations,FCS,2016,744250583417.645
Heavily indebted poor countries (HIPC),HPC,2016,648289348137.032
High income,HIC,2016,48557463061833.1
IBRD only,IBD,2016,25981476556760.5
IDA & IBRD total,IBT,2016,27972819139754.5
IDA blend,IDB,2016,923606013413.981
IDA only,IDX,2016,1072786488210.4
IDA total,IDA,2016,1999807711387.41
Late-demographic dividend,LTE,2016,18455074977717.5
Latin America & Caribbean,LCN,2016,5299865625774.02
Latin America & Caribbean (excluding high income),LAC,2016,4853042525000.34
Latin America & the Caribbean (IDA & IBRD countries),TLA,2016,5094164385266.57
Least developed countries: UN classification,LDC,2016,940734369537.394
Low & middle income,LMY,2016,27299380819539.9
Low income,LIC,2016,402524119028.794
Lower middle income,LMC,2016,6263372909106.61
Middle East & North Africa,MEA,2016,3144797691272.85
Middle East & North Africa (excluding high income),MNA,2016,1453901029336.23
Middle East & North Africa (IDA & IBRD countries),TMN,2016,1440244500023.14
Middle income,MIC,2016,26897069180752.8
North America,NAC,2016,20160296406469.0
OECD members,OED,2016,47552622005124.2
Other small states,OSS,2016,362079512486.165
Pacific island small states,PSS,2016,9019651488.34122
Post-demographic dividend,PST,2016,45213309475250.0
Pre-demographic dividend,PRE,2016,1207787697187.08
Small states,SST,2016,437803722143.8
South Asia,SAS,2016,2892480763179.47
South Asia (IDA & IBRD),TSA,2016,2892480763179.47
Sub-Saharan Africa,SSF,2016,1512596044161.42
Sub-Saharan Africa (excluding high income),SSA,2016,1511168024853.82
Sub-Saharan Africa (IDA & IBRD countries),TSS,2016,1512596044161.42
Upper middle income,UMC,2016,20623856301266.3
World,WLD,2016,75845109381590.5
Afghanistan,AFG,2016,19469022207.6852
Albania,ALB,2016,11863865978.0942
Algeria,DZA,2016,159049096745.249
American Samoa,ASM,2016,658000000.0
Andorra,AND,2016,2858517699.11504
Angola,AGO,2016,95335111741.2025
Antigua and Barbuda,ATG,2016,1460144703.7037
Argentina,ARG,2016,545476103427.247
Armenia,ARM,2016,10572298341.5618
Australia,AUS,2016,1204616439828.41
Austria,AUT,2016,390799991147.46796
Azerbaijan,AZE,2016,37847715736.0406
"Bahamas, The",BHS,2016,11261800000.0
Bahrain,BHR,2016,32179069148.9362
Bangladesh,BGD,2016,221415162445.648
Barbados,BRB,2016,4529050000.0
Belarus,BLR,2016,47407217531.162
Belgium,BEL,2016,467955709817.539
Belize,BLZ,2016,1741100000.0
Benin,BEN,2016,8583031398.21675
Bhutan,BTN,2016,2212638830.3943896
Bolivia,BOL,2016,33806395513.7482
Bosnia and Herzegovina,BIH,2016,16910277133.6463
Botswana,BWA,2016,15581137273.7728
Brazil,BRA,2016,1796186586414.45
Brunei Darussalam,BRN,2016,11400653731.9916
Bulgaria,BGR,2016,53237882472.7108
Burkina Faso,BFA,2016,11693235542.0671
Burundi,BDI,2016,3007029030.4001
Cabo Verde,CPV,2016,1617467435.7700698
Cambodia,KHM,2016,20016747754.0192
Cameroon,CMR,2016,32217497470.489
Canada,CAN,2016,1529760492201.35
Central African Republic,CAF,2016,1756124677.1967099
Chad,TCD,2016,9600761473.78738
Chile,CHL,2016,247027912574.35
China,CHN,2016,11199145157649.2
Colombia,COL,2016,282462551366.878
Comoros,COM,2016,616654490.413179
"Congo, Dem. Rep.",COD,2016,31930856401.9163
